HERD NAME,STATE,BREED,TOTAL COWS,COWS IN MILK,PERCENT 1ST LACTATION,MILK HERD,FAT PERCENT AVERAGE,PROTEIN PERCENT AVERAGE,FAT AND PROTEIN,ENERGY CORRECTED MILK,SOMATIC CELL COUNT HERD,DAYS IN MILK HERD,MILK LACTATION ONE,MILK OVER 270 DAYS IN MILK,PERCENT OVER 270 DAYS IN MILK,FIRST MILK LACTATION ONE,FIRST MILK LACTATION TWO,FIRST MILK LACTATION THREE PLUS,PEAK MILK LACTATION ONE,PEAK MILK LACTATION TWO,PEAK MILK LACTATION THREE PLUS,FOUR WEEK MILK LACTATION ONE,FOUR WEEK MILK LACTATION TWO,FOUR WEEK MILK LACTATION THREE PLUS,EIGHT WEEK MILK LACTATION ONE,EIGHT WEEK MILK LACTATION TWO,EIGHT WEEK MILK LACTATION THREE PLUS,DRY MATTER INTAKE,EFFICIENCY BY ENERGY CORRECTED MILK,PERCENT HEAT DETECTION,PERCENT PREGNANCY RATE,PERCENT PREGNANT HERD,CALVING INTERVAL,DAYS FIRST BREED AVERAGE,DAYS OPEN AVERAGE,DAYS OPEN MONTH AVERAGE,PERCENT OPEN GREATER THAN 150 DAYS,INVERSION,SOMATIC CELL COUNT GREATER THAN 500,EVALUATION DATE
HERD004,NM,Holstein,4743,3949,42.31451,77.89212459,3.871227043,3.306867181,5.591170096,83.32848569,249.6476367,187.5915422,72.78276481,60.45775401,23.47429729,71.59836066,91.568,90.25,88.63592814,105.8276864,114.1507538,78.22754491,99.4952381,103.3214286,,,,0,0,0,0,0,0,0,0,0,0,13.54218056,0,Dec 19 2017
HERD004,NM,Holstein,4720,3950,40.78481013,76.82075949,3.69741988,3.331803368,5.399902686,80.60856748,251.4878181,190.5898734,71.38857852,56.3945885,22.32911392,63.14942529,89.2,94.3255814,90.31480363,105.7735322,114.5549928,74.01052632,100.5257732,102.2173913,,,,0,0,0,0,0,0,0,0,0,0,20.81784387,0,Jan 16 2018
HERD004,NM,Holstein,4882,4052,40.81934847,76.90868707,3.852273902,3.275988628,5.482253122,81.91131822,183.0118587,192.9252221,71.39661427,56.0330033,22.23593287,68.96954315,90.78571429,94.68644068,91.67085427,107.2248629,115.6404658,74.43157895,98.08943089,104.0980392,,,,0,0,0,0,0,0,0,0,0,0,12.62394196,0,Feb 13 2018
HERD004,NM,Holstein,4949,4146,41.02749638,78.69464544,3.438672366,3.252451597,5.265556279,79.4891974,192.2883175,190.1396527,72.94121105,58.84534884,20.57404727,66.74271845,86.8951049,92.24390244,92.74462861,107.9559585,117.0323974,75.46236559,99.08045977,101.0630631,,,,0,0,0,0,0,0,0,0,0,0,32.31635766,0,Mar 13 2018
HERD004,NM,Holstein,4917,4184,41.53919694,81.90678776,3.533186383,3.254151359,5.559290319,83.73972165,167.9051682,187.4629541,76.33486766,66.47032967,21.48661568,67.74358974,88.77310924,92.02941176,93.94292509,108.9326123,118.0191036,76.23295455,97.26612903,105.552381,,,,0,0,0,0,0,0,0,0,0,0,27.49533582,0,Apr 10 2018
HERD004,NM,Holstein,5247,3960,47.92929293,81.96362718,3.222805167,3.18220406,5.249777884,80.08515266,340.7121053,194.1578681,79.23498419,70.98806941,22.97979798,66.70386266,86.10050251,79.88435374,95.73936457,111.7925747,117.5637584,74.53465347,93.58715596,96.67058824,,,,0,0,0,0,0,0,0,0,0,0,40.36674817,0,May 14 2019
HERD004,NM,Holstein,5144,3880,46.67525773,77.33505155,3.284871245,3.237821888,5.044328097,76.50165186,348.9303071,209.4438144,75.28437327,61.41560976,26.03092784,60.73796791,84.26262626,84.25,97.72561983,114.040245,118.6566038,72.40952381,96.70731707,94.44303797,,,,0,0,0,0,0,0,0,0,0,0,39.8205831,0,Apr 09 2019
HERD004,NM,Holstein,5198,4005,46.89138577,79.11510612,3.456830461,3.254643684,5.309789892,80.1116198,337.6373203,205.710362,77.36368477,65.17174515,26.79151061,65.1796875,88,83.23762376,97.36118319,114.7487047,119.6349497,76.33802817,100.9772727,98.73684211,,,,0,0,0,0,0,0,0,0,0,0,31.52066929,0,Mar 12 2019
HERD004,NM,Holstein,5223,4105,47.74665043,83.37149817,0,0,0,0,0,206.1383678,81.18163265,67.77307367,28.57490865,71.75,92.36538462,95.45299145,97.72442159,114.7054329,119.7193606,79.36697248,105.0625,106.6764706,,,,0,0,0,0,0,0,0,0,0,0,0,0,Feb 12 2019
HERD004,NM,Holstein,5305,4367,45.98122281,75.99450424,3.72434082,3.292700195,5.332565532,79.78238982,406.8264684,204.5683536,73.57719124,59.89375,28.99015342,68.86764706,82.07692308,86.04395604,94.69641957,115.1873977,121.7025932,71.97916667,93.1884058,100.5454545,,,,0,0,0,0,0,0,0,0,0,0,16.89950428,0,Jan 08 2019
HERD004,NM,,5302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,Dec 20 2018
HERD004,NM,Holstein,5298,4400,44.45454545,77.44727273,3.700766651,3.419477719,5.514435076,81.80720758,367.6042115,190.1195455,73.07873211,62.44122658,26.27272727,68.09292035,91.73584906,89.53548387,95.39341608,115.127907,121.5007813,74.79615385,103.6890756,100.9206349,,,,0,0,0,0,0,0,0,0,0,0,27.47837658,0,Nov 13 2018
